LA Region Name,LAD10CD,Year,A. Industry and Commercial Electricity,B. Industry and Commercial Gas,C. Large Industrial Installations,D. Industrial and Commercial Other Fuels,E. Agricultural Combustion,Industry and Commercial Total,F. Domestic Electricity,G. Domestic Gas,H. Domestic 'Other Fuels',Domestic Total,I. Road Transport (A roads),J. Road Transport (Motorways),K. Road Transport (Minor roads),L. Diesel Railways,M. Transport Other,Transport Total,N. LULUCF Net Emissions,Grand Total,"Population                                              ('000s, mid-year estimate)",Per Capita Emissions (t)
Burnley,30UD,2005,143,67.7,0.1,29.4,1.6,241.7,82.4,136,4.1,222.5,64.8,36.7,42.5,0.7,3.2,147.8,1.1,613,87.6,7
Chorley,30UE,2005,108.3,49.8,5.9,18.7,4.8,187.6,101.1,152,12.5,265.7,70.3,255.4,69,4.5,4.9,404,7.6,864.9,103.3,8.4
Fylde,30UF,2005,140.1,102.2,0,33.1,4.7,280.3,87.6,118.7,6.3,212.6,76.4,58.5,55.6,6.8,8,205.3,23.3,721.5,74.8,9.6
Hyndburn,30UG,2005,106.4,60.4,0,33.7,1.6,202,75.8,121,19.1,215.8,51.2,61.3,63.3,0.4,3.5,179.7,1.4,598.8,81.3,7.4
Lancaster,30UH,2005,180.8,114.9,14.9,37.2,18.4,366.1,133.3,181.2,28.6,343.2,95.4,195.4,94.6,4.9,8.9,399.2,13.6,1122.1,136.8,8.2
Pendle,30UJ,2005,139.4,61.8,0,44.4,5.1,250.7,83.2,134,6.9,224.1,46.3,27.4,52.9,1.7,4.4,132.7,2.3,609.8,88.3,6.9
Preston,30UK,2005,246.2,112.6,0.1,33.6,5.3,397.8,128.3,182.2,11.7,322.2,73.4,173.6,91.6,3,3.5,345.1,4.3,1069.3,136.2,7.9
Ribble Valley,30UL,2005,192.8,64.2,1003.3,36.4,18.9,1315.6,62.1,79.8,18.7,160.5,68.2,0,54.9,2.6,0.9,126.7,4.5,1607.2,56.4,28.5
Rossendale,30UM,2005,143.9,86.6,0,28.2,1.6,260.2,67.6,114.9,15.7,198.1,79.5,3.8,46.8,0,0.8,130.9,1.9,591.2,65.9,9
South Ribble,30UN,2005,153.7,75.5,0,37.9,3,270.1,102.1,156.2,13,271.4,87.5,126.1,78.5,1,1.3,294.2,5.2,840.9,105.8,7.9
West Lancashire,30UP,2005,189.4,101.7,95.6,50,4.9,441.6,115.1,153.7,21.2,290,96.7,76.2,90.2,1.6,6.4,271.2,102.1,1104.9,109.8,10.1
Wyre,30UQ,2005,137.6,73.7,0,40.3,9.2,260.9,116.3,158.8,13.6,288.7,63.8,100.9,83.2,1.3,8.6,257.9,43.2,850.7,108.2,7.9
Lancashire Total,,2005,1881.7,971,1119.9,422.8,79.1,4474.4,1154.8,1688.5,171.4,3014.7,873.5,1115.4,823.1,28.3,54.5,2894.7,210.4,10594.2,1154.4,9.2
Liverpool,00BY,2005,726.7,356.4,5.4,51.1,0.8,1140.4,452.2,608.5,14.7,1075.3,272.6,5.4,320,10.9,14.6,623.5,4,2843.1,452.3,6.3
Manchester,00BN,2005,976.5,419.3,29.1,64.6,0.4,1489.8,426,585,13.5,1024.4,243.9,164,284.3,6.8,35,734,3.2,3251.4,455.7,7.1
Oldham,00BP,2005,273.2,119.9,4.6,55.8,1,454.5,194.5,326.2,8.6,529.2,117.5,48.7,99.6,2.9,1.7,270.4,2.2,1256.4,219.3,5.7
Rochdale,00BQ,2005,285.9,135.4,0,58.5,1.6,481.4,191.6,306,8.6,506.2,115.4,259.9,103.9,2.2,2.3,483.7,3.3,1474.6,207.2,7.1
Salford,00BR,2005,393.4,159.9,6,42.2,0.4,601.9,225.2,308.6,7.8,541.6,178.9,287.9,137.9,5.9,2.2,612.8,30.8,1787.1,219.5,8.1
Sefton,00CA,2005,269.7,144.1,155.3,27.2,1.1,597.5,282.8,427.7,13.1,723.6,159.9,25.5,113.2,11.4,2.7,312.7,10.5,1644.3,277,5.9
St. Helens,00BZ,2005,295.5,385.6,444.9,53.9,1.3,1181.2,157.9,256.6,10.8,425.4,130.1,135.8,75.7,17.8,1.3,360.8,9.2,1976.6,175.4,11.3
Stockport,00BS,2005,386.8,167.3,0.4,47.1,1.6,603.3,287.9,463.5,10.2,761.7,161.3,124.2,176.6,5.7,5.3,473.1,3.3,1841.3,281.2,6.5
Tameside,00BT,2005,302.4,145,0.1,74.3,0.9,522.7,204,323.3,8.6,536,93.5,99.9,97.4,6.5,3,300.3,2.4,1361.4,213.5,6.4
Trafford,00BU,2005,724.1,360.6,3.1,46.8,0.7,1135.4,221.5,355,7.5,584,110.6,101.6,170.3,2.2,2.1,386.6,8.2,2114.3,215.4,9.8
Warrington,00EU,2005,384.1,245.4,4.7,64.8,2,701,187.1,288.2,10.4,485.7,143.6,401.7,131,12.2,2.2,690.7,13.3,1890.6,193,9.8
Wigan,00BW,2005,377.1,211.2,6.7,82.4,1.8,679.1,284.3,439,22.2,745.6,184.4,166.1,161.9,9.3,7.4,529.1,11.9,1965.7,306.1,6.4
Wirral,00CB,2005,405.8,185.2,0.2,57.4,2.7,651.3,323,490.9,19.3,833.3,163,99.9,175.8,0.2,1.7,440.6,6.3,1931.5,314.9,6.1
North West Total,,2005,12068.3,6348.6,5630.2,1967.4,355.7,26370.2,6879.9,9968.8,815.4,17664.1,5151.8,5124,4234.2,216.2,266.7,14993,487,59514.3,6870,8.7
Barnsley,00CC,2005,327.9,248.9,65.7,101.6,5,749.1,200.1,343.9,20.8,564.8,181.1,177.6,152.1,4.8,1.7,517.2,1.6,1832.8,222.6,8.2
Bradford,00CX,2005,660.4,465.1,8.4,144.4,6.3,1284.6,469.4,725.8,21.4,1216.7,269.9,14,322.3,1.3,7.3,614.8,5.6,3121.7,491.4,6.4
Calderdale,00CY,2005,287.2,164.1,9.1,112.2,4.1,576.7,209.1,309.2,28.3,546.5,158.2,154.4,117.3,4,5.6,439.3,5.3,1567.8,196.3,8
Doncaster,00CE,2005,527.8,247.1,39.6,70.9,7.3,892.6,271.1,431.1,118.7,821,249.9,428.6,229.8,33.2,12.8,954.2,70.7,2738.5,292.2,9.4
East Riding of Yorkshire,00FB,2005,484.1,305.7,835.2,189.1,40.7,1854.9,359.2,437.5,81.3,878,424.9,183.2,259.5,15.7,7.2,890.4,58.9,3682.1,327.3,11.3
"Kingston upon Hull, City of",00FA,2005,491.4,279.2,6.5,121.2,0.6,898.9,253.3,327.3,8.7,589.3,142.2,0,186.3,0.8,1.3,330.5,2.7,1821.3,255.2,7.1
Kirklees,00CZ,2005,574.3,372.4,2.7,152.1,6.4,1107.9,390.1,613.2,21.4,1024.7,239.7,258.4,207.1,10.4,5.6,721.2,3.4,2857.2,400.7,7.1
Leeds,00DA,2005,1264.1,603.3,99,174.4,7.2,2147.9,773,1046.1,32.6,1851.8,592.4,597.1,487.5,17.5,20.2,1714.7,7.3,5721.7,735.1,7.8
North East Lincolnshire,00FC,2005,342.9,537.7,474.7,63.3,2.6,1421.1,156.4,225.7,8.8,390.9,129.6,0,111.9,2.2,1,244.7,5.5,2062.2,158.7,13
North Lincolnshire,00FD,2005,597.5,172.1,8827,82.7,11,9690.3,159.6,223.7,63.8,447.1,183.7,193.6,116,19.9,8.4,521.7,111.8,10770.9,159.7,67.4
Craven,36UB,2005,86.8,30.7,4.5,24.2,26.6,172.8,66.6,72.3,17.1,156,104.5,0,58.2,5.2,7.8,175.7,6.5,511.1,54.9,9.3
Hambleton,36UC,2005,174.4,54.9,0.5,39.4,27.3,296.5,101,81.3,55.7,238,351.5,0,77.8,21.9,2.8,454,28,1016.4,86,11.8
Harrogate,36UD,2005,256,110.3,0,46.8,29.1,442.2,176.9,217.8,54,448.7,250.1,226.3,113.7,2.1,3.4,595.5,31,1517.4,153.7,9.9
Richmondshire,36UE,2005,59.4,35.3,0,17.2,22.2,134,59.6,44.4,32.5,136.4,152.3,46.9,64.2,0.6,1.1,265.1,1.8,537.3,50.4,10.7
Ryedale,36UF,2005,102.3,57.5,0.9,42.4,26.4,229.5,64.5,42.8,39.9,147.2,126,0,72.9,2.3,1.6,202.7,16,595.4,51.9,11.5
Scarborough,36UG,2005,176.4,103.6,0.1,37.4,13.7,331.1,127.3,157.5,20,304.9,110,0,70.1,7.3,1.3,188.7,4,828.8,108.8,7.6
Selby,36UH,2005,218.7,261.2,73.2,65.1,8.7,626.9,89.9,82.9,33.9,206.7,200.4,108.4,36.9,17.4,9,372.1,8.5,1214.1,78.4,15.5
North Yorkshire Total,,2005,1074,653.4,79.2,272.5,153.9,2233,685.8,698.9,253.2,1637.9,1294.8,381.5,493.7,56.7,27,2253.8,95.7,6220.4,584.1,10.6
Rotherham,00CF,2005,417.8,454.3,227.1,99.5,3.1,1201.7,227,384.9,30.2,642.1,179.5,234.8,176.8,15,4.9,611,-0.6,2454.2,252.7,9.7
Sheffield,00CG,2005,963.5,562.9,160.4,113.7,3.4,1803.9,472.8,793.1,19.8,1285.7,275.4,109.2,302.1,9,3.9,699.6,-7.1,3782,525.7,7.2
Wakefield,00DB,2005,602.3,347.6,135.1,126.1,3.7,1214.7,305.5,461.7,27.5,794.7,228,392.1,182.5,17.4,8.2,828.2,3.4,2841,318.8,8.9
York,00FF,2005,277.5,223.6,0.1,28.5,4.3,533.9,186.1,264,11.6,461.7,192,0,110.8,7.7,3.4,313.9,3.8,1313.4,188.2,7
Yorkshire and the Humber Total,,2005,8892.5,5637.2,10969.7,1852.1,259.6,27611.1,5118.5,7286.3,747.9,13152.7,4741.4,3124.4,3455.5,215.6,118.3,11655.2,368.1,52787.2,5108.7,10.3
Derby,00FK,2005,415.1,252.1,41.4,59.8,0.8,769.3,233.5,317.3,6.9,557.6,170.8,0,235.4,11.9,1.9,419.9,1.4,1748.2,236.5,7.4
