Total final energy consumption at regional and local authority level: 2003 in GWh (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coal ,,,,Manufactured fuels ,,,,Petroleum products ,,,,,,Natural gas ,,,,Electricity ,,,,Renewables & Waste,,,,Consuming Sector,,
NUTS4 Code,NUTS4 Region,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Road transport,Rail,Total,,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Total,,Total,,Total,,Industry & Commercial,Domestic,Transport
UKI2107,Waltham Forest,0.0,1.8,1.8,,0.0,4.6,4.6,,34.5,19.5,"1,076.3",0.3,"1,130.6",,536.9,"1,735.6","2,272.5",,329.7,398.8,728.5,,2.9,,"4,140.9",,904.0,"2,160.3","1,076.6"
UKI1105,Wandsworth,0.6,1.0,1.6,,0.0,3.1,3.1,,102.2,18.3,"1,331.0",3.3,"1,454.9",,994.2,"1,895.6","2,889.8",,599.3,499.8,"1,099.1",,7.3,,"5,455.8",,"1,703.7","2,417.8","1,334.3"
UKI1106,Westminster,0.0,1.3,1.4,,0.1,2.8,2.9,,102.0,14.1,"1,581.0",6.8,"1,703.9",,"3,925.1","1,267.4","5,192.6",,"3,235.1",494.1,"3,729.2",,20.7,,"10,650.6",,"7,283.1","1,779.7","1,587.8"
UKI,LONDON,23.5,48.0,71.5,,1.5,122.2,123.7,,"2,527.8",570.3,"42,126.1",163.6,"45,387.8",,"34,385.8","56,074.0","90,459.9",,"25,650.8","13,786.4","39,437.2",,269.0,,"175,749.0",,"62,858.4","70,600.9","42,289.6"
UKJ2401,Adur,2.1,2.1,4.2,,0.0,0.2,0.2,,42.7,7.5,431.9,0.2,482.3,,133.1,306.7,439.8,,119.2,128.2,247.4,,15.5,,"1,189.5",,312.7,444.7,432.1
UKJ2402,Arun,1.4,7.8,9.2,,0.0,0.6,0.6,,102.1,52.3,877.0,0.4,"1,031.7",,642.7,"1,135.7","1,778.4",,236.6,310.5,547.1,,2.9,,"3,369.9",,985.6,"1,506.9",877.4
UKJ4201,Ashford,9.8,15.2,25.0,,0.2,1.1,1.2,,309.2,173.4,"1,445.8",3.4,"1,931.8",,406.2,523.8,930.0,,286.0,227.0,512.9,,15.3,,"3,416.2",,"1,026.6",940.4,"1,449.2"
UKJ1301,Aylesbury Vale,3.9,25.9,29.8,,0.0,3.3,3.4,,275.7,214.8,"1,591.2",10.9,"2,092.6",,463.9,"1,069.1","1,533.0",,323.4,362.9,686.2,,26.4,,"4,371.4",,"1,093.3","1,676.0","1,602.1"
UKJ3301,Basingstoke and Deane,6.8,10.3,17.1,,0.0,0.7,0.7,,332.7,137.0,"2,199.1",21.6,"2,690.5",,"1,108.8",954.8,"2,063.5",,495.8,327.7,823.4,,25.9,,"5,621.2",,"1,969.9","1,430.5","2,220.8"
UKJ1101,Bracknell Forest,0.9,1.7,2.6,,0.0,0.5,0.5,,60.0,29.5,694.0,0.5,784.0,,406.3,798.6,"1,204.9",,417.6,218.2,635.8,,5.4,,"2,633.2",,890.3,"1,048.5",694.4
